risk_pct,atr_sl,atr_tp,train_win_rate,train_net_profit,train_sharpe,train_sortino,train_profit_factor,train_max_dd,total_trades
2.0,2.0,3.5,35.714285714285715,-15050.199339634637,-11.356450634368992,-22.714940456984664,0.1933760075578181,15.115104978824645,84
1.5,2.0,3.5,35.714285714285715,-15050.199339634637,-11.356450634368992,-22.714940456984664,0.1933760075578181,15.115104978824645,84
2.5,2.0,3.5,35.714285714285715,-15050.199339634637,-11.356450634368992,-22.714940456984664,0.1933760075578181,15.115104978824645,84
2.5,2.0,2.5,27.380952380952383,-13975.043111531442,-11.855229986191228,-16.915985163977666,0.14765338742649717,13.975043111531443,84
2.0,2.0,2.5,27.380952380952383,-13975.043111531442,-11.855229986191228,-16.915985163977666,0.14765338742649717,13.975043111531443,84
1.5,2.0,2.5,27.380952380952383,-13975.043111531442,-11.855229986191228,-16.915985163977666,0.14765338742649717,13.975043111531443,84
2.5,2.0,3.0,33.33333333333333,-15390.760539335737,-12.492557401889727,-19.81072703082549,0.14419119083465007,15.42466527517575,84
1.5,2.0,3.0,33.33333333333333,-15390.760539335737,-12.492557401889727,-19.81072703082549,0.14419119083465007,15.42466527517575,84
2.0,2.0,3.0,33.33333333333333,-15390.760539335737,-12.492557401889727,-19.81072703082549,0.14419119083465007,15.42466527517575,84
1.5,1.5,2.5,23.809523809523807,-13981.168698444628,-13.299186300655098,-21.582370300314242,0.1368811472761464,13.981168698444627,84
2.0,1.5,2.5,23.809523809523807,-13981.168698444628,-13.299186300655098,-21.582370300314242,0.1368811472761464,13.981168698444627,84
2.5,1.5,2.5,23.809523809523807,-13981.168698444628,-13.299186300655098,-21.582370300314242,0.1368811472761464,13.981168698444627,84
2.5,1.5,3.5,27.380952380952383,-15386.181313213849,-13.683707308148486,-30.531136445191024,0.16160463113894197,15.386181313213848,84
1.5,1.5,3.5,27.380952380952383,-15386.181313213849,-13.683707308148486,-30.531136445191024,0.16160463113894197,15.386181313213848,84
2.0,1.5,3.5,27.380952380952383,-15386.181313213849,-13.683707308148486,-30.531136445191024,0.16160463113894197,15.386181313213848,84
1.5,1.5,3.0,29.761904761904763,-15226.695745058183,-14.419315909770413,-28.729727185616433,0.12972441260030965,15.226695745058183,84
2.0,1.5,3.0,29.761904761904763,-15226.695745058183,-14.419315909770413,-28.729727185616433,0.12972441260030965,15.226695745058183,84
2.5,1.5,3.0,29.761904761904763,-15226.695745058183,-14.419315909770413,-28.729727185616433,0.12972441260030965,15.226695745058183,84
