window,start_candle,end_candle,net_profit,win_rate,sharpe,max_dd,trades
0,0,500,-577.8396842900111,0.0,-638.7544631798679,0.5778396842900111,2
1,100,600,-672.7839817389467,0.0,-132.53449242008836,0.6727839817389467,2
2,200,700,-695.0467823889339,0.0,-189.18660569728584,0.6950467823889339,2
3,300,800,-376.6838213789306,0.0,0.0,0.3766838213789306,1
4,400,900,-102.5462507600023,50.0,-7.737552363878084,0.1563817124709578,2
5,500,1000,-580.5652899735869,0.0,-553.9324907240994,0.5805652899735869,2
6,600,1100,-168.12593969858426,50.0,-6.220132869892837,0.29821242376509005,2
7,700,1200,-403.44213943999785,0.0,-33.05334316654937,0.40344213943999785,2
8,800,1300,-216.0090565399878,50.0,-8.052960980519039,0.32090991025000404,2
9,900,1400,-230.29068640997866,50.0,-8.306781403686676,0.3351915401199949,2
10,1000,1500,-317.56087612999545,50.0,-9.559120770850807,0.42246172984001173,2
11,1100,1600,-138.90825962000235,50.0,-11.352390412356966,0.16652858351205507,2
12,1200,1700,-303.5804909342696,50.0,-13.706191070542634,0.3275150318249623,2
13,1300,1800,-628.775703746418,0.0,-377.92048326372696,0.628775703746418,2
14,1400,1900,-327.59367862426734,0.0,0.0,0.32759367862426736,1
15,1500,2000,-536.3927276600007,0.0,-53.32172053955564,0.5363927276600007,2
16,1600,2100,-487.89758125787193,0.0,-63.174660776493624,0.4878975812578719,2
17,1700,2200,-10.973524800006999,0.0,0.0,0.010973524800006998,1
18,1800,2300,241.55959187287954,100.0,32.59796625147031,0.0,2
19,1900,2400,-127.80342643996119,50.0,-4.233962680564686,0.30349009075641514,2
20,2000,2500,-127.80342643996119,50.0,-4.233962680564686,0.30349009075641514,2
21,2100,2600,-166.12143995068618,50.0,-5.095889399018875,0.34180810426714014,2
22,2200,2700,-349.9114017999964,0.0,0.0,0.34991140179999636,1
23,2300,2800,-349.9114017999964,0.0,0.0,0.34991140179999636,1
24,2400,2900,-249.33916151642916,50.0,-8.786415556809068,0.34991140179999636,2
25,2500,3000,-340.16606589643925,50.0,-9.975731905150422,0.4407383061800065,2
26,2600,3100,100.57224028356723,100.0,0.0,0.0,1
27,2700,3200,-193.25760551643907,50.0,-7.778532333522665,0.2935346314451538,2
28,2800,3300,-293.8298458000063,0.0,0.0,0.2938298458000063,1
29,2900,3400,-293.8298458000063,0.0,0.0,0.2938298458000063,1
30,3000,3500,-293.8298458000063,0.0,0.0,0.2938298458000063,1
31,3100,3600,-520.9399836500088,0.0,-58.308261785103745,0.5209399836500088,2
32,3200,3700,-291.6153635000228,50.0,-15.853154652928806,0.29181175738001186,2
33,3300,3800,0.19639387998904567,100.0,0.0,0.0,1
34,3400,3900,-78.03437652000866,50.0,-15.79500336762375,0.07823061675985411,2
35,3500,4000,59.99742527998751,100.0,20.000523331539387,0.0,2
36,3600,4100,53.80882959999144,100.0,0.0,0.0,1
37,3700,4200,53.80882959999144,100.0,0.0,0.0,1
