risk_pct,atr_sl,atr_tp,train_win_rate,train_net_profit,train_sharpe,train_sortino,train_profit_factor,train_max_dd,total_trades
1.5,1.5,2.5,0,0,0,0,0,0,0
1.5,1.5,3.0,0,0,0,0,0,0,0
1.5,1.5,3.5,0,0,0,0,0,0,0
1.5,2.0,2.5,0,0,0,0,0,0,0
1.5,2.0,3.0,0,0,0,0,0,0,0
1.5,2.0,3.5,0,0,0,0,0,0,0
2.0,1.5,2.5,0,0,0,0,0,0,0
2.0,1.5,3.0,0,0,0,0,0,0,0
2.0,1.5,3.5,0,0,0,0,0,0,0
2.0,2.0,2.5,0,0,0,0,0,0,0
2.0,2.0,3.0,0,0,0,0,0,0,0
2.0,2.0,3.5,0,0,0,0,0,0,0
2.5,1.5,2.5,0,0,0,0,0,0,0
2.5,1.5,3.0,0,0,0,0,0,0,0
2.5,1.5,3.5,0,0,0,0,0,0,0
2.5,2.0,2.5,0,0,0,0,0,0,0
2.5,2.0,3.0,0,0,0,0,0,0,0
2.5,2.0,3.5,0,0,0,0,0,0,0
