entry_time,exit_time,type,entry_price,entry_price_effective,exit_price,exit_price_effective,qty,sl,tp,gross_pnl,entry_commission,exit_commission,net_pnl,exit_reason,atr,duration_candles
2025-12-19 10:55:00+05:30,2025-12-19 11:32:00+05:30,BUY,1572.5,1572.97175,1569.9,1569.42903,57,1569.9,1575.75,-201.9350399999953,23.6,113.05745471,-338.5924947099953,SL Hit,1.3000000000000032,0
2025-12-22 09:32:00+05:30,2025-12-22 09:38:00+05:30,BUY,1574.4,1574.8723200000002,1571.7428571428572,1571.2713342857144,56,1571.7428571428572,1577.7214285714288,-201.6552000000047,23.6,111.59119472,-336.8463947200047,SL Hit,1.3285714285714707,0
2025-12-23 09:15:00+05:30,2025-12-23 09:17:00+05:30,BUY,1578.0,1578.4734,1575.9714285714285,1575.4986371428572,56,1575.9714285714285,1580.5357142857142,-166.58672000000115,23.6,111.82792368,-302.01464368000114,SL Hit,1.0142857142857014,0
2025-12-24 09:15:00+05:30,2025-12-24 10:55:00+05:30,SELL,1570.0,1569.529,1566.2321428571427,1566.7020125,56,1573.0142857142857,1566.2321428571427,158.31130000000485,111.49362400000001,23.6,23.217676000004836,TP Hit,1.5071428571428993,0
2025-12-26 09:31:00+05:30,2025-12-26 10:06:00+05:30,SELL,1556.7,1556.23299,1560.0,1560.468,57,1560.0,1552.575,-241.39557000000582,112.30528043000001,23.6,-377.3008504300059,SL Hit,1.649999999999961,0
2025-12-29 09:30:00+05:30,2025-12-29 09:34:00+05:30,SELL,1553.2,1552.73404,1555.7142857142858,1556.181,57,1555.7142857142858,1550.057142857143,-196.47671999999943,112.10584028,23.6,-332.18256027999945,SL Hit,1.2571428571428507,0
2025-12-30 09:15:00+05:30,2025-12-30 09:29:00+05:30,BUY,1545.9,1546.3637700000002,1548.4178571428574,1547.9533317857147,57,1543.8857142857141,1548.4178571428574,90.60502178572779,23.6,111.83333991178574,-44.82831812605795,TP Hit,1.007142857142932,0
2025-12-31 10:06:00+05:30,2025-12-31 10:49:00+05:30,BUY,1548.8,1549.2646399999999,1547.0142857142857,1546.5501814285715,57,1547.0142857142857,1551.0321428571428,-154.7241385714185,23.6,111.75336034142859,-290.0774989128471,SL Hit,0.8928571428571266,0
2026-01-01 09:26:00+05:30,2026-01-01 09:28:00+05:30,BUY,1581.0,1581.4743,1587.375,1586.8987875,55,1575.8999999999999,1587.375,298.34681249999676,23.6,110.8794333125,163.86737918749674,TP Hit,2.5500000000000194,0
2026-01-02 09:32:00+05:30,2026-01-02 11:16:00+05:30,BUY,1586.6,1587.0759799999998,1582.7,1582.22519,55,1582.7,1591.475,-266.79344999998534,23.6,110.62238545,-401.0158354499854,SL Hit,1.9499999999999804,0
