window,start_candle,end_candle,net_profit,win_rate,sharpe,max_dd,trades
71,7100,7600,-732.7043953999964,0.0,-260.7313104200417,0.7327043953999964,2
72,7200,7700,-454.00854401999095,0.0,-21.568892334380426,0.45400854401999097,2
73,7300,7800,-722.9223627199972,0.0,-210.98600147864133,0.7229223627199971,2
74,7400,7900,-394.07734399999026,0.0,0.0,0.3940773439999903,1
75,7500,8000,-776.2063335314306,0.0,-84.18934614255608,0.7762063335314305,2
76,7600,8100,-500.4434892114514,0.0,-18.81989434228089,0.5004434892114513,2
77,7700,8200,-323.50253577143303,50.0,-8.572458545077557,0.46064813316521247,2
78,7800,8300,-461.2828154514282,0.0,0.0,0.4612828154514282,1
79,7900,8400,-305.1797466275166,50.0,-12.109956234402896,0.3524472902833487,2
80,8000,8500,-778.0763881700113,0.0,-169.55406080984682,0.7780763881700113,2
81,8100,8600,-690.422466930002,0.0,-740.2244172649229,0.690422466930002,2
82,8200,8700,-650.2227792500053,0.0,-187.65108260246132,0.6502227792500053,2
83,8300,8800,-690.248948479988,0.0,-115.30141105028001,0.6902489484799881,2
84,8400,8900,-665.4124953599967,0.0,-150.48027825718316,0.6654124953599967,2
85,8500,9000,-670.2266215314157,0.0,-141.84130892781354,0.6702266215314158,2
86,8600,9100,-212.75203529141436,50.0,-8.095460441304057,0.314970320731416,2
87,8700,9200,-234.5249484800006,50.0,-8.481308669010113,0.3367432339200022,2
88,8800,9300,-205.85035766857618,50.0,-7.964604511453705,0.30806864310857784,2
89,8900,9400,102.21828544000164,100.0,0.0,0.0,1
90,9000,9500,-306.0262486399879,50.0,-12.090150192094244,0.35392113679999604,2
91,9100,9600,-283.55365823999455,50.0,-11.865961996929785,0.33144854640000265,2
92,9200,9700,-303.198106440017,50.0,-12.06332556382626,0.35109299460002513,2
93,9300,9800,47.89488816000812,100.0,0.0,0.0,1
94,9400,9900,-656.2337016685633,0.0,-880.8263044489657,0.6562337016685632,2
95,9500,10000,-352.9741715200071,0.0,-17.783350498150067,0.3529741715200071,2
96,9600,10100,-619.6912371199724,0.0,-203.3788700910722,0.6196912371199723,2
97,9700,10200,-661.3514739199891,0.0,-1564.8429764502062,0.661351473919989,2
98,9800,10300,-636.8324012800149,0.0,-567.6246575644883,0.6368324012800148,2
99,9900,10400,-281.13685696000175,50.0,-11.948709176762629,0.3271701043778279,2
100,10000,10500,-105.29761127999518,50.0,-2.9950761294807826,0.33094882983315954,2
101,10100,10600,-333.21497165998153,0.0,-17.875052123564714,0.33321497165998154,2
102,10200,10700,-108.43966306820221,50.0,-3.976259734470603,0.27068283940570836,2
103,10300,10800,-180.3164987253549,50.0,-5.670403147514638,0.34255967506286106,2
104,10400,10900,-555.9268465600035,50.0,-9.948643069996182,0.7203019306278673,2
105,10500,11000,-1171.0881986600143,0.0,-73.83824013615174,1.1710881986600143,2
106,10600,11100,-612.5607823500031,0.0,0.0,0.6125607823500031,1
107,10700,11200,-429.9619105600141,50.0,-6.737661374764436,0.7193972402294508,2
108,10800,11300,-476.647591578585,0.0,0.0,0.476647591578585,1
109,10900,11400,447.8242125125107,100.0,273.35528706535746,0.0,2
110,11000,11500,-144.85647244282882,50.0,-3.716782262599436,0.38177178244284005,2
111,11100,11600,-169.10047066285915,50.0,-4.175232448285568,0.4060157806628704,2
112,11200,11700,236.91531000001123,100.0,0.0,0.0,1
113,11300,11800,155.52987610000127,100.0,133.2974673835286,0.0,2
114,11400,11900,132.45142761997704,100.0,461.47481603886825,0.0,2
115,11500,12000,68.50384595998912,100.0,0.0,0.0,1
116,11600,12100,-329.2149650857318,50.0,-11.209505746782682,0.3974465448768452,2
117,11700,12200,-696.4111049357161,0.0,-111.63861843346183,0.6964111049357161,2
118,11800,12300,-477.29168245573237,0.0,-23.81539294947711,0.4772916824557324,2
119,11900,12400,-397.71881104572094,0.0,0.0,0.397718811045721,1
120,12000,12500,-732.2780665085884,0.0,-7924.573502297949,0.7322780665085884,2
121,12100,12600,-650.5440399200161,0.0,-128.65872830217293,0.6505440399200161,2
122,12200,12700,-408.6855607450125,0.0,-20.140224885465692,0.40868556074501244,2
123,12300,12800,-716.1869608171401,0.0,-777.4176248900981,0.7161869608171401,2
124,12400,12900,-670.702587954278,0.0,-345.0102385218134,0.670702587954278,2
125,12500,13000,-287.0619129371189,50.0,-10.993865718301487,0.35055800369462825,2
126,12600,13100,-350.78137737713405,0.0,0.0,0.35078137737713405,1
127,12700,13200,-341.2446741307067,0.0,-22.94139131660993,0.3412446741307067,2
128,12800,13300,-534.3860432114307,0.0,-197.3458288168225,0.5343860432114307,2
129,12900,13400,-586.7013834543031,0.0,-998.3165131901993,0.5867013834543032,2
130,13000,13500,-528.1782673657144,0.0,-170.43951820675846,0.5281782673657145,2
131,13100,13600,-288.5299102657009,0.0,0.0,0.28852991026570085,1
132,13200,13700,-278.52129990857793,0.0,-17.24979424336134,0.27852129990857794,2
133,13300,13800,-547.2359860985744,0.0,-700.6152156136156,0.5472359860985743,2
134,13400,13900,-610.3750218585774,0.0,-128.27142179088077,0.6103750218585774,2
135,13500,14000,-610.3750218585774,0.0,-128.27142179088077,0.6103750218585774,2
136,13600,14100,-625.4530403756944,0.0,-164.2195768287519,0.6254530403756944,2
137,13700,14200,-414.5331224750116,0.0,-24.248304470917695,0.4145331224750116,2
138,13800,14300,-95.67172573000425,50.0,-2.79938800420962,0.31909900330999513,2
139,13900,14400,-66.28143285002443,50.0,-2.050499578588523,0.28970871043001534,2
140,14000,14500,93.73874657998385,50.0,4.214074912005188,0.12968853100000705,2
141,14100,14600,-121.37930123999831,50.0,-3.390921978071455,0.3448065788199892,2
142,14200,14700,0.19675498000287917,100.0,0.0,0.0,1
143,14300,14800,-291.35891946501215,50.0,-14.454112413662077,0.305674737430003,2
144,14400,14900,-328.8276037250034,50.0,-14.602997497158205,0.3431434216899943,2
145,14500,15000,-285.755737265019,50.0,-14.428797355882297,0.30007155523000983,2
146,14600,15100,64.58027729499736,100.0,28.517910024013595,0.0,2
147,14700,15200,-233.8757845999935,50.0,-11.10230492034507,0.28414024393,2
148,14800,15300,156.8402847325051,100.0,44.2142058949059,0.0,2
149,14900,15400,-331.4130468200019,50.0,-12.17992100610309,0.3814857543981392,2
150,15000,15500,-640.5399538257188,0.0,-90.62881773654243,0.6405399538257189,2
151,15100,15600,-477.48277501322445,0.0,-27.537498885647985,0.47748277501322445,2
152,15200,15700,-681.2335098057229,0.0,-151.24150253316034,0.6812335098057228,2
153,15300,15800,-769.081286244269,0.0,-87.17516508728397,0.769081286244269,2
154,15400,15900,-410.9980950617901,50.0,-13.097715376697199,0.45436714442451215,2
155,15500,16000,-798.7600182542956,0.0,-114.88540038772567,0.7987600182542955,2
156,15600,16100,-512.7000877092651,0.0,-20.53038198069722,0.5127000877092651,2
157,15700,16200,3.2381761400029063,100.0,0.0,0.0,1
158,15800,16300,173.86989064750378,100.0,949.6131689625399,0.0,2
159,15900,16400,-223.49324395250005,50.0,-8.994260471767577,0.3089749138600018,2
160,16000,16500,-403.5793567625078,50.0,-11.150822579073342,0.4890610266700096,2
161,16100,16600,80.37279520749871,50.0,14.0840147864552,0.005104511278521574,2
162,16200,16700,-335.00991688000795,0.0,-16.441551636937483,0.3350099168800079,2
163,16300,16800,-357.3698144200025,0.0,-16.40488749612354,0.35736981442000254,2
164,16400,16900,-5.108874700003071,0.0,0.0,0.005108874700003071,1
165,16500,17000,-305.38196126002003,0.0,-18.965353712692394,0.30538196126002004,2
166,16600,17100,-281.03435882000485,0.0,-19.290757908410228,0.2810343588200048,2
167,16700,17200,-344.3512829300016,0.0,-18.556475740473882,0.3443512829300016,2
168,16800,17300,-24.884549499998684,0.0,0.0,0.024884549499998684,1
169,16900,17400,-313.2809381842817,0.0,-17.455679651211536,0.31328093818428165,2
170,17000,17500,-578.6575862542668,0.0,-470.4290804134737,0.5786575862542668,2
171,17100,17600,-619.6390882342821,0.0,-458.4727958658797,0.619639088234282,2
172,17200,17700,-534.5205831942876,0.0,-133.28250392428134,0.5345205831942876,2
173,17300,17800,-267.9636077800096,50.0,-13.93564169379467,0.28660449946000877,2
174,17400,17900,-363.47696758249367,50.0,-14.47203481494598,0.3810890953299968,2
175,17500,18000,-398.6535029725055,50.0,-14.585739981815593,0.41626563072000866,2
176,17600,18100,-579.7499808914436,0.0,-779.9614039753778,0.5797499808914436,2
177,17700,18200,-671.8704392228683,0.0,-102.63284130797115,0.6718704392228684,2
178,17800,18300,-600.5274632400105,0.0,-292.63127191840164,0.6005274632400105,2
179,17900,18400,-283.97518208001566,0.0,0.0,0.28397518208001565,1
180,18000,18500,371.12157964000653,100.0,37.08843023608886,0.0,2
181,18100,18600,-1.1060257999779424,50.0,-0.03306056637807912,0.2660901343999867,2
182,18200,18700,-15.766133409983013,50.0,-0.4586106932058177,0.28075024200999177,2
183,18300,18800,264.98410860000877,100.0,0.0,0.0,1
184,18400,18900,-824.2767291199852,0.0,-235.47809341783312,0.8242767291199852,2
185,18500,19000,-329.4132309799752,50.0,-9.50031990461106,0.43943662164984637,2
186,18600,19100,-886.4339314485696,0.0,-2135.4883597385024,0.8864339314485696,2
187,18700,19200,-825.143448665709,0.0,-239.46069150501327,0.825143448665709,2
188,18800,19300,-723.2043893714144,0.0,-243.03540244960152,0.7232043893714144,2
189,18900,19400,-756.7071602357319,0.0,-874.5632797507001,0.7567071602357318,2
190,19000,19500,-390.5027913714439,0.0,0.0,0.3905027913714439,1
191,19100,19600,-119.74049515319348,50.0,-3.0454575321824016,0.3719451020357083,2
192,19200,19700,-74.6500349460548,50.0,-2.046478956367518,0.3268546418285696,2
193,19300,19800,253.19426528250915,100.0,15.999582748680428,0.0,2
